Symbol,Timestamp,Last,Bid,Ask,BidSize,AskSize,Volume,Open,High,Low,Close,Spread,VWAP,RSI,EMA9,EMA26,ALMA,ATR,up_001_002,up_002_005,up_005_010,up_010_plus,dn_001_002,dn_002_005,dn_005_010,dn_010_plus
NVDA,1749244378240,141.9100,141.9100,141.9300,1200,200,823,141.9100,141.9100,141.9100,141.9100,0.0200,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244378787,141.9100,141.9100,141.9300,1200,200,823,141.9100,141.9100,141.9100,141.9100,0.0200,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244379278,141.9100,141.9100,141.9300,1200,200,823,141.9100,141.9100,141.9100,141.9100,0.0200,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244379432,141.9200,141.9100,141.9300,1200,200,824,141.9100,141.9100,141.9100,141.9100,0.0200,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244379781,141.9200,141.9100,141.9300,1200,200,824,141.9100,141.9100,141.9100,141.9100,0.0200,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244380029,141.9200,141.9200,141.9300,100,200,824,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244380784,141.9200,141.9200,141.9300,100,200,1024,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244381007,141.9200,141.9200,141.9300,100,200,1024,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244381235,141.9200,141.9200,141.9300,100,200,1025,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244381779,141.9200,141.9200,141.9300,100,200,1025,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244386010,141.9200,141.9200,141.9300,100,200,1130,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244388542,141.9200,141.9200,141.9300,100,200,1130,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244389059,141.9300,141.9200,141.9300,100,200,1131,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244389543,141.9300,141.9200,141.9300,100,200,1131,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244390154,141.9200,141.9200,141.9300,100,200,1231,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244390802,141.9200,141.9200,141.9300,100,200,1231,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244391005,141.9200,141.9200,141.9300,100,200,1231,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244391307,141.9200,141.9200,141.9300,100,200,1251,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244392051,141.9200,141.9200,141.9300,100,200,1251,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244392299,141.9200,141.9200,141.9300,100,200,1251,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244392787,141.9200,141.9200,141.9300,100,200,1253,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244392787,141.9300,141.9200,141.9300,100,200,1254,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244396002,141.9300,141.9200,141.9300,100,200,1254,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244399059,141.9300,141.9200,141.9300,100,200,1254,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244399759,141.9300,141.9200,141.9300,100,200,1354,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244400808,141.9300,141.9200,141.9300,100,200,1354,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244401006,141.9300,141.9200,141.9300,100,200,1354,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244401291,141.9200,141.9200,141.9300,100,200,1399,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244401291,141.9200,141.9100,141.9300,1400,200,1399,141.9300,141.9300,141.9300,141.9300,0.0200,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244401558,141.9200,141.9100,141.9300,1400,200,1399,141.9300,141.9300,141.9300,141.9300,0.0200,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244402019,141.9200,141.9100,141.9300,1400,200,1483,141.9300,141.9300,141.9300,141.9300,0.0200,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244402019,141.9200,141.9100,141.9300,1300,200,1483,141.9300,141.9300,141.9300,141.9300,0.0200,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244402115,141.9200,141.9100,141.9300,1300,200,1483,141.9300,141.9300,141.9300,141.9300,0.0200,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244402762,141.9200,141.9100,141.9300,1200,200,1483,141.9300,141.9300,141.9300,141.9300,0.0200,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244402762,141.9200,141.9100,141.9200,1100,1900,1483,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244402762,141.9200,141.9100,141.9200,1000,1900,1483,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244402762,141.9100,141.9100,141.9200,1000,1900,1564,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244404316,141.9100,141.9100,141.9200,1000,1900,1864,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244404561,141.9100,141.9100,141.9200,1000,1900,1864,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244404711,141.9100,141.9100,141.9200,1000,1900,1865,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244404824,141.9100,141.9100,141.9200,1000,1900,1865,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244405073,141.9100,141.9100,141.9200,1000,1900,1865,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244405242,141.9200,141.9100,141.9200,1000,1900,1915,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244405242,141.9100,141.9100,141.9200,1000,1900,1966,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244405320,141.9100,141.9100,141.9200,1000,1900,1973,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244405561,141.9100,141.9100,141.9200,1000,1900,1973,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244406005,141.9100,141.9100,141.9200,1000,1900,1973,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244406005,141.9100,141.9100,141.9200,1000,2000,1973,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244406820,141.9100,141.9100,141.9200,1000,2000,1975,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244407066,141.9100,141.9100,141.9200,1000,2000,1975,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244407552,141.9100,141.9100,141.9200,1000,1700,1975,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244407552,141.9100,141.9100,141.9200,1000,1600,1975,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244407552,141.9200,141.9100,141.9200,1000,1600,2275,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244407552,141.9100,141.9100,141.9200,1000,1600,2284,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244408317,141.9100,141.9100,141.9200,1000,1600,2284,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244408573,141.9100,141.9100,141.9200,1000,1600,2284,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244408741,141.9200,141.9100,141.9200,1000,1600,2285,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244408741,141.9100,141.9100,141.9200,1000,1600,2286,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
